Frame,Median Fitness,Mean Fitness,Maximum Fitness,Median Age,Median Health,Population
264,696.2701,605.54004,3072.2566,169,4.119941,33
265,696.1399,606.4775,3077.1313,170,4.0949407,33
266,695.9598,609.7604,3122.156,171,4.06994,33
267,747.32965,615.4293,3127.0806,172,4.3449397,33
268,747.3495,619.88947,3172.455,173,4.319939,33
269,747.31934,639.3999,3177.43,174,4.2949386,32
270,799.7392,640.3325,3182.3545,175,4.569938,32
271,799.909,641.87616,3187.2292,176,4.5449376,32
272,2063.8933,667.66046,3233.1538,178,11.594907,31
273,800.0987,650.0226,3238.0784,178,4.4949365,32
274,800.1185,652.2897,3242.9531,179,4.469936,32
275,800.0884,657.7695,3289.3276,180,4.4449353,32
276,800.0082,659.06946,3335.9524,181,4.4199347,32
277,799.878,662.04,3340.977,182,4.394934,32
278,799.6979,664.3273,3345.9517,183,4.3699336,32
279,799.46765,666.39136,3393.0261,184,4.344933,32
280,2119.452,691.747,3440.3508,186,11.394902,31
281,2126.1716,698.34283,3445.4753,187,11.369902,31
282,2132.8413,707.8725,3535.7498,188,11.344901,31
283,2139.4612,717.7248,3669.3242,189,11.3199005,31
284,2174.531,724.1498,3717.9487,190,11.4449,31
285,2209.8506,731.923,3723.7734,191,11.569899,31
286,2216.6204,736.5494,3815.9478,192,11.544898,31
287,2223.3403,741.45,3908.6724,193,11.519897,31
288,2288.21,744.1411,3908.6724,194,11.794896,31
289,2353.6294,750.537,3908.6724,195,12.069895,31
290,2390.1992,754.7101,3956.5457,196,12.194894,31
291,2397.469,759.62195,3962.7705,197,12.169893,31
292,2404.6887,766.66156,3968.945,198,12.144893,31
293,2411.8586,779.9653,3975.0696,199,12.119892,31
294,2418.9783,793.4418,4069.944,200,12.094892,31
295,2426.048,801.19727,4209.9185,201,12.069891,31
296,968.8047,788.72266,4350.7427,201,4.819924,32
297,968.5745,768.7159,4357.867,202,4.7949233,33
298,998.7443,773.7006,4364.942,203,4.919923,33
299,353.40076,757.4316,4507.4165,186,1.900004,34
300,378.6757,765.9683,4560.1406,187,2.0250037,34
301,404.2006,772.96686,4658.565,188,2.1500032,34
302,401.6255,776.49646,4666.34,189,2.1250026,34
303,399.0004,781.06396,4666.34,190,2.100002,34
304,396.3253,783.3668,4666.34,191,2.0750015,34
305,393.60016,786.6082,4666.34,192,2.050001,34
306,390.82507,788.76697,4666.34,193,2.0250003,34
307,417.09998,792.8213,4666.34,194,2.1499999,34
308,414.37485,795.05225,4666.34,195,2.1249993,34
309,411.59976,800.0699,4666.34,196,2.0999987,34
310,408.77463,807.7861,4666.34,197,2.0749981,34
311,405.8995,809.70795,4671.461,198,2.0499976,34
312,402.9744,815.7447,4772.7354,199,2.024997,34
313,399.9993,818.48004,4780.06,200,1.9999965,34
314,427.12424,820.3052,4787.335,201,2.1249962,34
315,424.19913,820.7594,4794.5596,202,2.0999956,34
316,421.224,822.50946,4801.734,203,2.074995,34
317,418.19888,851.0809,4808.8584,204,2.0499945,33
318,445.87378,853.1279,4815.933,205,2.174994,33
319,442.89865,861.1657,4871.108,206,2.1499934,33
320,439.8735,862.77625,4878.2324,207,2.1249928,33
321,105.56334,840.9595,4885.307,207,0.5099678,34
322,100.87331,843.05206,4940.9316,208,0.48496783,34
323,96.13328,846.9475,4948.056,209,0.45996785,34
324,91.343254,851.51685,5004.0303,210,0.43496788,34
325,86.50323,856.51666,5011.205,211,0.4099679,34
326,81.6132,862.8152,5018.3296,212,0.38496792,34
327,76.67317,868.41943,5025.4043,213,0.35996795,34
328,71.68314,867.552,5032.4287,214,0.33496797,34
329,66.64312,874.4798,5089.053,215,0.309968,34
330,61.553093,879.24445,5096.128,216,0.28496802,34
331,56.413067,883.1255,5103.1523,217,0.25996804,34
332,51.223038,894.15186,5110.127,218,0.23496807,34
333,45.983013,900.99,5117.052,219,0.20996809,34
334,40.692986,902.1355,5174.326,220,0.18496811,34
335,35.35296,906.5426,5181.301,221,0.15996814,34
336,29.962933,909.8018,5188.2256,222,0.13496816,34
337,24.5229,917.6648,5245.9497,223,0.109968156,34
338,19.032864,920.9604,5252.9243,224,0.08496814,34
339,13.49283,925.2443,5259.849,225,0.059968133,34
340,7.902799,933.2779,5266.7236,226,0.034968138,34
341,638.3958,968.1996,5324.998,228,2.7999816,33
342,635.47064,1001.102,5331.9224,229,2.774981,32
343,632.4955,1009.49677,5494.047,230,2.7499804,32
344,629.47034,1014.2886,5553.2217,231,2.7249799,32
345,626.3952,986.5014,5612.648,232,2.6999793,33
346,783.564,931.7215,5620.124,203,3.8599215,35
347,782.32385,936.87714,5627.5503,204,3.834921,35
348,811.7837,942.7069,5634.927,205,3.9599204,35
349,810.5935,943.6401,5642.253,206,3.9349198,35
350,809.3533,946.6742,5702.329,207,3.9099193,35
351,340.01187,924.24414,5709.7056,203,1.6749353,36
352,336.58682,924.4297,5717.0317,204,1.6499354,36
353,333.11176,927.5292,5777.5576,205,1.6249354,36
354,329.5867,937.3278,5784.934,206,1.5999354,36
355,326.01163,945.0149,5792.2603,207,1.5749354,36
356,322.38657,955.2197,5853.237,208,1.5499355,36
357,318.71152,964.9986,5860.613,209,1.5249355,36
358,314.98645,969.6941,5867.9395,210,1.4999355,36
359,311.2114,974.55206,5875.216,211,1.4749355,36
360,307.38635,985.314,5882.442,212,1.4499356,36
361,335.46127,992.4636,5944.0684,213,1.5749356,36
362,427.9862,996.7009,5951.3447,214,1.9999355,36
363,456.86105,1000.8044,5958.571,215,2.1249352,36
364,453.58588,1001.0165,5965.7476,216,2.0999346,36
365,450.26068,980.0022,6027.924,217,2.074934,37
366,446.8855,984.6154,6035.15,218,2.0499334,37
367,443.4603,990.60565,6042.3267,219,2.0249329,37
368,439.98514,995.06976,6104.9526,220,1.9999324,37
369,436.46005,1000.97626,6167.829,221,1.9749324,37
370,466.1849,1006.3744,6175.1553,222,2.099932,37
371,462.7097,1009.7405,6182.432,223,2.0749314,37
372,459.1845,1014.77515,6189.658,224,2.0499308,37
373,547.3954,989.6265,6196.835,213,2.5699315,38
374,544.61523,994.997,6203.9614,214,2.544931,38
375,65.97583,948.7046,6267.5874,203,0.3250041,40
376,91.80084,957.6886,6274.764,204,0.45000413,40
377,117.875854,935.58136,6281.8906,205,0.57500416,41
378,113.300865,942.0909,6288.9673,206,0.5500042,41
379,108.67587,950.7059,6295.9937,207,0.5250042,41
380,104.00088,950.91785,6302.97,208,0.50000423,41
381,99.27589,953.38025,6309.8965,209,0.47500426,41
382,94.5009,957.6811,6374.373,210,0.45000428,41
383,121.32591,961.18005,6439.0996,211,0.57500434,41
384,116.60092,964.85223,6504.0757,212,0.55000436,41
385,111.825935,970.3548,6511.2524,213,0.5250044,41
386,107.000946,971.6399,6518.379,214,0.5000044,41
387,102.12595,971.0975,6525.4556,215,0.47500443,41
388,97.200966,980.7337,6649.482,216,0.45000446,41
389,92.225975,987.91675,6715.408,217,0.42500448,41
390,1161.8955,965.3006,6722.7847,213,5.4549084,42
391,1194.1003,973.8207,6730.1113,214,5.579908,42
392,1194.305,974.49414,6737.388,215,5.5549073,42
393,1194.4598,980.9638,6744.6147,216,5.5299067,42
394,1194.5647,984.209,6751.7915,217,5.504906,42
395,1227.3195,984.67914,6758.918,218,5.6299057,42
396,1260.3242,987.23584,6765.9946,219,5.754905,42
397,1260.579,992.30133,6773.0215,220,5.7299047,42
398,1260.7838,997.4284,6839.998,221,5.704904,42
399,1260.9386,998.5424,6847.0747,222,5.6799035,42
400,1261.0433,1002.8851,6854.101,223,5.654903,42
401,1261.0981,1005.5682,6861.078,224,5.6299024,42
402,1261.1029,1009.9444,6868.0044,225,5.604902,42
403,1261.0576,1012.4331,6874.8813,226,5.579901,42
404,1260.9624,991.5553,6881.708,227,5.5549006,43
405,1260.8173,1018.51807,6888.485,228,5.5299,42
406,1260.622,995.1031,6895.2114,229,5.5048995,43
407,493.92548,972.8092,6901.888,223,2.2149124,44
408,490.54025,978.3837,6908.515,224,2.1899118,44
409,487.10504,980.52203,6915.092,225,2.1649113,44
410,483.6198,979.7771,6921.6187,226,2.1399107,44
411,480.0846,981.19806,6990.045,227,2.1149101,44
412,476.4994,982.7301,6996.622,228,2.0899096,44
413,472.86417,983.4193,7003.149,229,2.064909,44
414,469.17892,986.0246,7009.6255,230,2.0399084,44
415,500.09372,987.1819,7016.0522,231,2.164908,44
416,531.25854,988.73926,7022.429,232,2.2899075,44
417,562.67334,989.89886,7028.756,233,2.414907,44
418,559.2381,991.6099,7098.0327,234,2.3899064,44
419,555.75287,996.02954,7104.4097,235,2.3649058,44
420,552.21765,1002.4246,7110.7363,236,2.3399053,44
421,548.6324,1005.0736,7117.013,237,2.3149047,44
422,544.9972,1007.73444,7186.84,238,2.289904,44
423,577.162,1016.5022,7193.167,239,2.4149036,44
424,573.5767,1020.60406,7199.444,240,2.389903,44
425,569.9415,1049.1998,7205.6704,241,2.3649025,43
426,566.2563,1074.7341,7211.8477,242,2.339902,42
427,562.52106,1073.2448,7217.9746,243,2.3149014,42
428,595.3358,1075.936,7224.0513,244,2.4399009,42
429,591.6506,1089.3776,7230.078,245,2.4149003,42
430,587.91534,1095.9989,7236.055,246,2.3898997,42
431,584.13007,1104.5139,7306.932,247,2.3648992,42
432,617.4949,1112.0576,7312.959,248,2.4898987,42
433,613.75964,1111.248,7318.936,249,2.464898,42
434,609.97437,1111.0693,7324.863,250,2.4398975,42
435,643.7892,1085.8998,7330.7397,251,2.564897,43
436,677.85394,1089.746,7336.567,252,2.6898966,43
437,674.2187,1089.9733,7342.3438,253,2.664896,43
438,670.53345,1095.5625,7348.071,254,2.6398954,43
439,666.7982,1099.9072,7353.748,255,2.6148949,43
440,47.926292,1071.3702,7359.375,223,0.21491611,44
441,659.1777,1094.4532,7364.9517,257,2.5648937,43
442,655.2924,1093.0099,7370.479,258,2.5398932,43
443,651.3572,1094.4773,7375.956,259,2.5148926,43
444,647.37195,1096.9901,7381.383,260,2.489892,43
445,643.3367,1097.4409,7386.7603,261,2.4648914,43
446,1316.033,1074.0269,7392.087,221,5.9549003,44
447,1383.0377,1057.61,7397.3643,222,6.2299,45
448,1383.6925,1052.9376,7402.5913,223,6.2048993,45
449,1384.2974,1052.1176,7407.7686,224,6.1798987,45
450,596.0506,1033.8976,7412.8955,222,2.6849127,46
451,593.1604,1039.4453,7417.9727,223,2.659912,46
452,590.2202,1040.9369,7423,224,2.6349115,46
453,587.23,1044.1323,7427.977,225,2.609911,46
454,1420.9211,1073.256,7501.3037,229,6.204896,45
455,1421.376,1078.5831,7506.331,230,6.1798954,45
456,1421.7808,1081.9166,7580.008,231,6.154895,45
457,609.1191,1061.4106,7585.085,229,2.6599088,46
458,491.0289,1062.4365,7590.1123,230,2.1349082,46
459,487.38867,1061.8363,7595.0894,231,2.1099076,46
460,483.69843,1063.7231,7600.0166,232,2.084907,46
461,479.95822,1063.4011,7604.894,233,2.0599065,46
462,476.16797,1064.353,7679.321,234,2.034906,46
463,472.32776,1066.0814,7684.248,235,2.0099053,46
464,468.43762,1070.6586,7689.1255,236,1.9849052,46
465,500.0475,1074.4713,7693.9526,237,2.109905,46
466,496.20724,1081.6483,7768.9297,238,2.0849044,46
467,492.31702,1081.9708,7773.8066,239,2.0599039,46
468,488.3768,1084.3497,7778.6343,240,2.0349033,46
