Frame,Median Fitness,Mean Fitness,Maximum Fitness,Median Age,Median Health,Population
423,3415.8542,3070.365,17289.623,1220,2.7998805,35
424,3582.978,3088.5535,17289.623,1225,2.92488,35
425,3566.8518,3078.9736,17289.623,1230,2.8998795,35
426,3550.4753,3102.3281,17571.99,1235,2.874879,35
427,3533.849,3114.2253,17571.99,1240,2.8498783,35
428,3703.723,3123.0898,17868.484,1245,2.9748778,35
429,4635.887,3030.819,17868.484,1220,3.7999074,36
430,4624.2607,3036.6765,17868.484,1225,3.7749069,36
431,4612.385,3067.2632,17868.484,1230,3.7499063,36
432,4600.259,3091.725,17868.484,1235,3.7249057,36
433,4773.8823,3105.0703,17868.484,1240,3.8499053,36
434,4762.0063,3092.9805,17868.484,1245,3.8249047,36
435,4749.8804,3051.4287,17868.484,1250,3.799904,36
436,3951.2124,3174.2454,17868.484,1285,3.0748734,35
437,3934.336,3185.892,18080.336,1290,3.0498729,35
438,4901.7515,3098.7622,18080.336,1265,3.8749025,36
439,4889.3755,3091.526,18080.336,1270,3.849902,36
440,4876.749,3088.633,18080.336,1275,3.8249013,36
441,5055.873,3086.0945,18080.336,1280,3.9499009,36
442,5043.497,3108.4968,18080.336,1285,3.9249003,36
443,4025.828,3152.5613,18080.336,1320,3.0498695,35
444,4007.9514,3152.9556,18080.336,1325,3.024869,35
445,3989.825,3177.3782,18080.336,1330,2.9998684,35
446,3971.4485,3176.7676,18080.336,1335,2.9748678,35
447,3952.822,3166.993,18080.336,1340,2.9498672,35
448,3933.9458,3182.7043,18080.336,1345,2.9248667,35
449,4487.8633,3285.4456,18080.336,1320,3.3998964,34
450,4471.737,3286.8179,18080.336,1325,3.3748958,34
451,4654.861,3284.1199,18080.336,1330,3.4998953,34
452,4638.9844,3206.2866,18080.336,1335,3.4748948,35
453,4622.8584,3204.098,18080.336,1340,3.4498942,35
454,4606.482,3212.0095,18080.336,1345,3.4248936,35
455,4589.8555,3207.3062,18080.336,1350,3.399893,35
456,4572.9795,3197.1965,18080.336,1355,3.3748925,35
457,4555.853,3195.649,18080.336,1360,3.349892,35
458,4538.4766,3188.4102,18080.336,1365,3.3248913,35
459,4520.85,3213.6047,18080.336,1370,3.2998908,35
460,4502.974,3199.7417,18080.336,1375,3.2748902,35
461,4484.8477,3218.349,18080.336,1380,3.2498896,35
462,4466.471,3229.866,18080.336,1385,3.224889,35
463,4656.345,3245.0845,18080.336,1390,3.3498886,35
464,4638.2188,3218.582,18080.336,1395,3.324888,35
465,4619.8423,3312.7302,18080.336,1400,3.2998874,34
466,4601.216,3309.8242,18080.336,1405,3.2748868,34
467,4582.34,3279.9873,18080.336,1410,3.2498863,34
468,4563.2134,3282.5024,18080.336,1415,3.2248857,34
469,4543.837,3285.45,18080.336,1420,3.1998851,34
470,3673.6628,3484.7307,18080.336,1455,2.5248542,32
471,3649.7864,3496.2253,18080.336,1460,2.4998536,32
472,3625.6597,3483.882,18080.336,1465,2.474853,32
473,5265.716,3583.073,18080.336,1496,3.5198636,31
474,5245.7896,3571.328,18080.336,1501,3.494863,31
475,3551.78,3473.432,18080.336,1480,2.3998513,32
476,3749.4036,3469.855,18080.336,1485,2.5248508,32
477,3724.7769,3485.6545,18080.336,1490,2.4998503,32
478,3924.1504,3399.4043,18080.336,1495,2.6248498,33
479,4483.323,3314.9158,18080.336,1470,3.0498798,34
480,4461.697,3318.6384,18080.336,1475,3.0248792,34
481,4076.7708,3376.6562,18080.336,1510,2.6998482,33
482,4052.394,3385.6912,18080.336,1515,2.6748476,33
483,4255.7676,3415.584,18080.336,1520,2.7998471,33
484,4231.641,3334.2751,18080.336,1525,2.7748466,33
